week,workouts,minutes_total,minutes_avg_per_workout,distance_total
2025-W09,4,316.28,79.07,144.46
2025-W10,7,497.2,71.03,211.56
2025-W11,3,94.38,31.46,67.17
2025-W12,6,440.87,73.48,39.11
2025-W13,31,1058.37,34.14,74.84
2025-W14,31,1745.75,56.31,125.25
2025-W15,29,1545.52,53.29,159.88
2025-W16,29,2186.38,75.39,236.12
2025-W17,19,1413.48,74.39,206.68
2025-W18,35,2467.0,70.49,289.65
2025-W19,31,2228.23,71.88,286.45
2025-W20,13,1228.13,94.47,86.75
2025-W21,22,904.47,41.11,50.38
2025-W22,13,618.58,47.58,119.65
2025-W23,10,1119.33,111.93,384.28
2025-W24,10,755.17,75.52,91.7
2025-W25,12,1179.27,98.27,201.88
2025-W26,11,723.57,65.78,184.13
2025-W27,8,607.82,75.98,201.18
2025-W28,10,640.43,64.04,191.24
2025-W29,17,1108.8,65.22,437.41
2025-W30,11,408.33,37.12,145.9
2025-W31,13,801.12,61.62,195.27
2025-W32,24,1855.4,77.31,700.56
2025-W33,45,4456.22,99.03,1587.73
2025-W34,18,1291.63,71.76,161.83
2025-W35,33,1746.43,52.92,224.21
2025-W36,33,2866.35,86.86,673.41
2025-W37,23,1166.2,50.7,258.83
2025-W38,11,550.85,50.08,65.93
2025-W39,12,620.3,51.69,114.04
2025-W40,11,667.12,60.65,193.71
2025-W41,11,580.47,52.77,142.77
2025-W42,9,380.48,42.28,57.11
2025-W43,16,438.05,27.38,31.41
2025-W44,11,579.58,52.69,182.53
2025-W45,16,827.45,51.72,184.25
2025-W46,14,781.4,55.81,26.46
2025-W47,15,756.38,50.43,75.9
2025-W48,10,644.68,64.47,22.05
2025-W49,19,1282.65,67.51,72.36
2025-W50,12,854.75,71.23,104.47
2025-W51,16,1008.5,63.03,75.79
2025-W52,19,917.12,48.27,29.44
2026-W01,13,630.47,48.5,21.3
2026-W02,14,599.0,42.79,17.25
2026-W03,11,607.62,55.24,20.59
2026-W04,4,171.5,42.88,24.97
2026-W05,6,343.02,57.17,43.18
2026-W06,13,411.12,31.62,14.03
2026-W07,11,461.2,41.93,17.91
2026-W08,11,574.72,52.25,86.87
2026-W09,8,462.1,57.76,20.41
2026-W10,8,551.73,68.97,28.26
